Ludność - struktura według ekonomicznych grup wieku. Stan w dniu 31.03.2011 r.;;;;;;;;;;;;;;
Wyniki Narodowego Spisu Powszechnego Ludności i Mieszkań 2011;;;;;;;;;;;;;;
Województwa;"Symbol
(TERYT,
SIMC)";Ogółem;Mężczyźni;;;;;;Kobiety;;;;;
;;;razem;w wieku:;;;;;razem;w wieku;;;;
;;;;przed-produk-cyjny;produkcyjny;;;poprodu-kcyjny;;przed-produk-cyjny;produkcyjny;;;poprodu-kcyjny
;;;;;razem;mobilny;nie-mobilny;;;;razem;mobilny;nie-mobilny;
;;;;;;;;;;;;;;
POLSKA;;38511824;18643870;3691430;12973926;7821177;5152749;1978514;19867954;3510843;11823482;7597684;4225798;4533629
Dolnośląskie;02;2915241;1402461;258423;1001990;588062;413928;142048;1512780;246092;910239;571585;338654;356449
Kujawsko-Pomorskie;04;2097635;1016729;206913;708896;425871;283025;100920;1080906;197304;646138;414103;232035;237464
Lubelskie;06;2175700;1054899;212871;724304;443137;281167;117724;1120801;202847;651054;420873;230181;266900
Lubuskie;08;1022843;498180;99726;354026;210128;143898;44428;524663;95008;317614;201983;115631;112041
Łódzkie;10;2538677;1210270;226731;844843;495030;349813;138696;1328407;214814;770768;479318;291450;342825
Małopolskie;12;3337471;1619813;338104;1105933;690010;415923;175776;1717658;322234;1016616;676192;340424;378808
Mazowieckie;14;5268660;2522131;504183;1729830;1053875;675955;288118;2746529;480036;1614334;1047013;567321;652159
Opolskie;16;1016212;491309;88613;347883;205496;142387;54813;524903;84392;318189;203663;114526;122322
Podkarpackie;18;2127286;1041328;219198;714474;445904;268570;107656;1085958;208496;644467;427651;216816;232995
Podlaskie;20;1202365;586826;116382;402537;246923;155614;67907;615539;110717;361762;234391;127371;143060
Pomorskie;22;2276174;1110084;233824;767616;467254;300362;108644;1166090;221263;700670;457093;243577;244157
Śląskie;24;4630366;2236218;406779;1571642;924581;647061;257797;2394148;388348;1443712;903168;540544;562088
Świętokrzyskie;26;1280721;625479;118841;434087;256151;177936;72551;655242;113349;380074;240608;139466;161819
Warmińsko-mazurskie;28;1452147;711468;147498;500609;302814;197795;63361;740679;140391;448620;287541;161079;151668
Wielkopolskie;30;3447441;1676995;350848;1168087;716770;451317;158060;1770446;330996;1064419;696995;367424;375031
Zachodniopomorskie;32;1722885;839680;162496;597169;349171;247998;80015;883205;154556;534806;335507;199299;193843